Date,In,Out
2016-12-15,146860,147655 
2016-12-16,184438,191654 
2016-12-17,213656,208892 
2016-12-18,206078,205134 
2016-12-19,151215,148024 
2016-12-20,142448,142429 
2016-12-21,144973,142780 
2016-12-22,150847,151468 
2016-12-23,188369,196035 
2016-12-24,209779,208974 
2016-12-25,205104,203046 
2016-12-26,163631,158280 
2016-12-27,143074,141579 
2016-12-28,145130,143919 
2016-12-29,149691,152276 
2016-12-30,183231,195418 
2016-12-31,227041,221437 

